artist,album_uri,album_name,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,The View From The Afternoon,4wSWZjWH7a5eVxskGxO13w,0.387,0.922,A,-5.192,minor,0.0674,0.00487,0,0.187,0.417,146.478,222947,4,A minor,53
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,I Bet You Look Good On The Dancefloor,29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,F#,-4.19,minor,0.0356,0.00225,0,0.376,0.778,103.183,173680,4,F# minor,62
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Fake Tales Of San Francisco,4KGyQfes7t5BiaoBvs380e,0.454,0.778,A,-4.225,major,0.0449,0.00998,0,0.0427,0.704,127.158,177947,4,A major,52
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Dancing Shoes,3Rleu2vd9qHGjRJdcFtPbC,0.522,0.889,C#,-4.137,major,0.0461,0.00328,0,0.345,0.852,144.499,141133,4,C# major,53
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,5ojVq0bohB1uEEMga1IO3j,0.58,0.972,B,-4.274,minor,0.0589,0.00384,0,0.296,0.926,105.492,130813,4,B minor,49
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Still Take You Home,28J7s6ylqLYzBUTBSUyEjm,0.599,0.946,G#,-4.192,major,0.0378,6.69e-4,0,0.0973,0.653,108.934,173667,4,G# major,49
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Riot Van,0RN9h0ojhQWtAD6O8X7Zzp,0.593,0.333,A,-14.342,major,0.046,0.358,0,0.245,0.258,103.537,134933,4,A major,52
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Red Light Indicates Doors Are Secured,1TYRcvY3JTYoLVhADPpDH5,0.622,0.846,B,-4.831,minor,0.0311,0.00316,0,0.0989,0.914,110.683,143627,4,B minor,49
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Mardy Bum,3geFzA6VBSNZUTmV3bCry6,0.634,0.599,D,-5.447,major,0.0365,0.0288,0,0.197,0.312,112.215,175440,4,D major,60
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,Perhaps Vampires Is A Bit Strong But…,2vVHf43MQ8V3gDbo8HRlnJ,0.371,0.914,B,-4.917,minor,0.081,2.93e-4,8.75e-5,0.0852,0.394,134.982,268627,4,B minor,52
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,When The Sun Goes Down,0ZRrJTPXDToRJ2iLo9oLrW,0.348,0.875,B,-4.758,minor,0.199,0.0341,0,0.117,0.407,169.152,202133,4,B minor,59
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,From The Ritz To The Rubble,7gsArdm7rk6X6wsMr2QKWS,0.216,0.882,B,-5.176,minor,0.0439,0.00147,0,0.308,0.656,189.286,193427,4,B minor,56
Arctic Monkeys,0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, Thats What Im Not",2006-02-21,2006,61,A Certain Romance,2CbtdkBeW9Znt4vXTOafAl,0.455,0.881,B,-5.587,major,0.0401,5.66e-4,6.06e-5,0.11,0.201,137.949,331200,4,B major,56
